ID,Suite Title,Title,Description,Status,Commentary,,
,Раздел «Вкусное меню»,,,,,,Passed
46,"Блок ""Вкусное меню на сегодня""",Отображение заголовка “Меню”,,Passed,,,Failed
66,"Блок ""Вкусное меню на сегодня""",Соответствие размера шрифта заголовка 30px,,Passed,,,Blocked
68,"Блок ""Вкусное меню на сегодня""",Соответствие цвета шрифта заголовка #d60231,,Passed,,,Skipped
47,"Блок ""Вкусное меню на сегодня""",Отображение подзаголовка “Наше Вкусное Меню На Сегодня”,,Passed,"New bug report:
b471 - Граматическая ошибка в тексте",,
67,"Блок ""Вкусное меню на сегодня""",Соответствие размера шрифта подзаголовка 48px,,Passed,,,
69,"Блок ""Вкусное меню на сегодня""",Соответствие цвета шрифта подзаголовка #362725,,Passed,,,
70,"Блок ""Вкусное меню на сегодня""",Блок содержит Таб-бар.,,Passed,,,
65,"Блок ""Вкусное меню на сегодня""",Отображение над активным табом красного дивайдера,,Passed,,,
48,"Блок ""Вкусное меню на сегодня""","Таб-бар содержит таб ""ФАСТФУД""",,Passed,,,
52,"Блок ""Вкусное меню на сегодня""","При нажатии на таб ""ФАСТФУД"" выдача карточек блюд сортируется в соответствии с категорий ""ФАСТФУД""",,Passed,,,
49,"Блок ""Вкусное меню на сегодня""","Таб-бар содержит таб ""ПИЦЦА""",,Passed,,,
53,"Блок ""Вкусное меню на сегодня""","При нажатии на таб ""ПИЦЦА"" выдача карточек блюд сортируется в соответствии с категорий ""ПИЦЦА""",,Failed,"New bug report:
b531 - Некорректная сортировка на табах",,
50,"Блок ""Вкусное меню на сегодня""","Таб-бар содержит таб ""СНЕКИ""",,Passed,,,
54,"Блок ""Вкусное меню на сегодня""","При нажатии на таб ""СНЕКИ"" выдача карточек блюд сортируется в соответствии с категорий ""СНЕКИ""",,Failed,"New bug report:
b541 assigned to b531 - Некорректная сортировка на табах",,
51,"Блок ""Вкусное меню на сегодня""","Таб-бар содержит таб ""НАПИТКИ""",,Passed,,,
55,"Блок ""Вкусное меню на сегодня""","При нажатии на таб ""НАПИТКИ"" выдача карточек блюд сортируется в соответствии с категорий ""НАПИТКИ""",,Failed,"New bug report:
b551 assigned to b531 - Некорректная сортировка на табах",,
56,"Блок ""Вкусное меню на сегодня""",Наличие в выдаче блюд карточек с блюдами,,Passed,"New bug report:
b561 - Ошибка локализации",,
57,"Блок ""Вкусное меню на сегодня""",Отображение на карточках с блюдами Названия блюда,,Passed,,,
63,"Блок ""Вкусное меню на сегодня""",Изменение цвета Названия блюда на красный при выделении карточки с блюдом,,Passed,,,
62,"Блок ""Вкусное меню на сегодня""",Переход на карточку блюда при клике на Название блюда,,Failed,"New bug report:
b621 - Неверное перенаправление по ссылке",,
58,"Блок ""Вкусное меню на сегодня""",Отображение на карточках с блюдами Изображения товара,,Passed,"New bug report:
b581 - Ошибка отображения элемента, неверная ссылка на изображение",,
59,"Блок ""Вкусное меню на сегодня""",Отображение на карточках с блюдами Цены,,Passed,"New bug report:
b591 - Грамматическая ошибка в тексте",,
64,"Блок ""Вкусное меню на сегодня""",Изменение цвета элемента содержащего Цену на белый круг с обводкой при выделении карточки с блюдом,//ссылка на макет//,Passed,,,
60,"Блок ""Вкусное меню на сегодня""",Отображение на карточках с блюдами Описания блюда,,Passed,"New bug report:
b601 assigned to b561 - Ошибка локализации
b602 - Неверное описание (Уточнить содержание у прода)",,
61,"Блок ""Вкусное меню на сегодня""",Отображение на карточках с блюдами Оценки,"мин: 1, макс: 5",Passed,"New bug report:
b561 - Неверное отображение оценки",,